Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,
DDD,3D Systems Corporation,12.05,1375875543.15,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd,
MMM,3M Company,202.2,117738458697,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm,
WBAI,500.com Limited,8.22,349230670.26,n/a,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/wbai,
WUBA,58.com Inc.,59.58,8826107678.28,n/a,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/wuba,
EGHT,8x8 Inc,19.41,1851154623.21,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght,
AHC,A.H. Belo Corporation,4.46,96526562.42,n/a,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/ahc,
ATEN,"A10 Networks, Inc.",6.1,450170343.7,n/a,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/aten,
AAC,"AAC Holdings, Inc.",2.11,51910969.05,n/a,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac,
AIR,AAR Corp.,41.83,1465769045.68,n/a,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/air,
AAN,"Aaron&#39;s,  Inc.",44.13,3202880423.13,n/a,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan,
ABB,ABB Ltd,19.66,41911258893.96,n/a,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb,
ABT,Abbott Laboratories,71.5,125577811788,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt,
ABBV,AbbVie Inc.,90.55,136206788409.85,n/a,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv,
ANF,Abercrombie & Fitch Company,18.87,1259571179.1,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/anf,
AGD,Aberdeen Global Dynamic Dividend Fund,9.29,116585616.78,n/a,2006,n/a,n/a,https://www.nasdaq.com/symbol/agd,
AWP,Aberdeen Global Premier Properties Fund,5.47,467181491.97,n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/awp,
ACP,Aberdeen Income Credit Strategies Fund,11.63,152051457.36,n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/acp,
JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.54,100953602.88,n/a,1992,n/a,n/a,https://www.nasdaq.com/symbol/jeq,
AOD,Aberdeen Total Dynamic Dividend Fund,8,860746712,n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/aod,
ABM,ABM Industries Incorporated,29.65,1952505662.45,n/a,n/a,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm,
AKR,Acadia Realty Trust,28.12,2293278093,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/akr,
ACN,Accenture plc,164.21,104928685507.98,n/a,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/acn,
ACCO,Acco Brands Corporation,7.52,772602130.4,n/a,n/a,Consumer Durables,Publishing,https://www.nasdaq.com/symbol/acco,
ATV,"Acorn International, Inc.",27.93,74856310.2,n/a,2007,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/atv,
ATU,Actuant Corporation,24.17,1474757010.04,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/atu,
AYI,"Acuity Brands, Inc. ",120,4810691640,n/a,n/a,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ayi,
GOLF,Acushnet Holdings Corp.,23.35,1745647447.7,n/a,2016,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/golf,
ADX,"Adams Diversified Equity Fund, Inc.",13.89,1401062742.72,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adx,
PEO,"Adams Natural Resources Fund, Inc.",16.52,479008088.44,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/peo,
AGRO,Adecoagro S.A.,7.11,828707699.52,n/a,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/agro,
ADNT,Adient plc,23.02,2149968139.24,n/a,2016,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adnt,
ADT,ADT Inc.,7.42,5690242632.62,n/a,2018,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/adt,
ATGE,Adtalem Global Education Inc.,54.63,3209239350,n/a,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/atge,
AAP,Advance Auto Parts Inc,178.19,12988931788.61,n/a,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/aap,
ADSW,"Advanced Disposal Services, Inc.",26.47,2346866331.55,n/a,2016,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/adsw,
WMS,"Advanced Drainage Systems, Inc.",26.07,1489568811.39,n/a,2014,Capital Goods,Containers/Packaging,https://www.nasdaq.com/symbol/wms,
ASIX,AdvanSix Inc.,26.58,792160231.44,n/a,2016,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/asix,
AVK,Advent Claymore Convertible Securities and Income Fund,13.81,476793315.82,n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/avk,
ACM,AECOM,30.11,4707744417.75,n/a,2007,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/acm,
AEB,Aegon NV,19.94,0,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeb,
AED,Aegon NV,25.18,0,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aed,
AEG,Aegon NV,5.35,10807563397.8,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeg,
AEH,Aegon NV,24.97,0,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeh,
AER,Aercap Holdings N.V.,51.5,7568495465.5,n/a,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aer,
HIVE,"Aerohive Networks, Inc.",3.62,201110620.4,n/a,2014,Technology,EDP Services,https://www.nasdaq.com/symbol/hive,
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",34.06,2666898000,n/a,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/ajrd,
AMG,"Affiliated Managers Group, Inc.",105.15,5538553857.75,n/a,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amg,
AFL,Aflac Incorporated,44.29,33717062190.05,n/a,n/a,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/afl,
MITT,"AG Mortgage Investment Trust, Inc.",17.92,515084003.84,n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/mitt,
MITT^A,"AG Mortgage Investment Trust, Inc.",25.2205,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^a,
MITT^B,"AG Mortgage Investment Trust, Inc.",24.8099,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^b,
AGCO,AGCO Corporation,59.27,4639902815.17,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/agco,
A,"Agilent Technologies, Inc.",72.91,23185380000,n/a,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/a,
AEM,Agnico Eagle Mines Limited,36.69,8605795799.4,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aem,
ADC,Agree Realty Corporation,59.55,2053376004.75,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/adc,
AL,Air Lease Corporation,37.91,4071037682.28,n/a,2011,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/al,
APD,"Air Products and Chemicals, Inc.",163.92,35985936565.44,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/apd,
AYR,Aircastle Limited,18.02,1373617297.5,n/a,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/ayr,
AKS,AK Steel Holding Corporation,3.09,975024671.85,n/a,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/aks,
ALP^Q,Alabama Power Company,24.72,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/alp^q,
ALG,"Alamo Group, Inc.",80.63,946215142.62,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/alg,
AGI,Alamos Gold Inc.,3.36,1311713366.88,n/a,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/agi,
ALK,"Alaska Air Group, Inc.",70.03,8634691646.85,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/alk,
AIN,Albany International Corporation,69.25,2229850000,n/a,n/a,Basic Industries,Textiles,https://www.nasdaq.com/symbol/ain,
ALB,Albemarle Corporation,93.19,9897326423.15,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/alb,
AA,Alcoa Corporation,30.4,5669419089.6,n/a,2016,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/aa,
ALEX,"Alexander & Baldwin, Inc.",19.74,1421815131.66,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alex,
ALX,"Alexander&#39;s, Inc.",306.8,1566916572,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alx,
ARE,"Alexandria Real Estate Equities, Inc.",123.54,13283836287.54,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/are,
ARE^D,"Alexandria Real Estate Equities, Inc.",34.2642,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/are^d,
AQN,Algonquin Power & Utilities Corp.,10.59,4984059141.63,n/a,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqn,
AQNA,Algonquin Power & Utilities Corp.,25.1,0,n/a,2018,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqna,
BABA,Alibaba Group Holding Limited,158.34,407239371340.62,n/a,2014,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/baba,
Y,Alleghany Corporation,623.14,9245260852.94,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/y,
ATI,Allegheny Technologies Incorporated,25.74,3235116353.04,n/a,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/ati,
ALLE,Allegion plc,90.28,8581634283.64,n/a,2013,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/alle,
AGN,Allergan plc.,154,51942036608,n/a,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agn,
ALE,"Allete, Inc.",80.12,4120510067.84,n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ale,
AKP,Alliance California Municipal Income Fund Inc,13.27,113520444.36,n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/akp,
ADS,Alliance Data Systems Corporation,188.86,10287869364.92,n/a,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ads,
AFB,Alliance National Municipal Income Fund Inc,12.22,351263117.92,n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/afb,
AWF,Alliance World Dollar Government Fund II,11.01,949388743.77,n/a,1993,n/a,n/a,https://www.nasdaq.com/symbol/awf,
AB,AllianceBernstein Holding L.P.,29.98,2886263460.72,n/a,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/ab,
LNT,Alliant Energy Corporation,46.17,10893185757.99,n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/lnt,
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,8.54,155914882.48,n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/cbh,
NCV,AllianzGI Convertible & Income Fund,6.12,547027729.92,n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/ncv,
NCV^A,AllianzGI Convertible & Income Fund,24.2,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ncv^a,
NCZ,AllianzGI Convertible & Income Fund II,5.39,406330696.31,n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/ncz,
NCZ^A,AllianzGI Convertible & Income Fund II,23.7899,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ncz^a,
ACV,AllianzGI Diversified Income & Convertible Fund,22.41,230931778.14,n/a,2015,n/a,n/a,https://www.nasdaq.com/symbol/acv,
NIE,AllianzGI Equity & Convertible Income Fund,20.31,562769079.15,n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/nie,
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",12.04,1141411035.24,n/a,2005,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/nfj,
ALSN,"Allison Transmission Holdings, Inc.",45.04,5838906329.6,n/a,2012,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/alsn,
ALL,Allstate Corporation (The),86.4,29759812128,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/all,
ALL^A,Allstate Corporation (The),24.21,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^a,
ALL^B,Allstate Corporation (The),24.62,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^b,
ALL^D,Allstate Corporation (The),25.39,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^d,
ALL^E,Allstate Corporation (The),25.35,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^e,
ALL^F,Allstate Corporation (The),25.23,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^f,
ALL^G,Allstate Corporation (The),24.08,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^g,
ALLY,Ally Financial Inc.,25.11,10372482315.63,n/a,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/ally,
ALLY^A,Ally Financial Inc.,25.3,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ally^a,
AYX,"Alteryx, Inc.",58.57,3595215078.26,n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ayx,
ATUS,"Altice USA, Inc.",17.7,12657277274.7,n/a,2017,Consumer Services,Television Services,https://www.nasdaq.com/symbol/atus,
MO,Altria Group,54.4,102220074166.4,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/mo,
ACH,Aluminum Corporation of China Limited,9.07,5407097996.03,n/a,2001,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/ach,
AMBR,"Amber Road, Inc.",8.2,227896318.8,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ambr,
ABEV,Ambev S.A.,4.27,67125331705.46,n/a,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/abev,
AMC,"AMC Entertainment Holdings, Inc.",14.26,1476112434.96,n/a,2013,Consumer Services,Movies/Entertainment,https://www.nasdaq.com/symbol/amc,
AEE,Ameren Corporation,70.04,17110477271.68,n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/aee,
AMRC,"Ameresco, Inc.",14.95,687349646.75,n/a,2010,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/amrc,
AMOV,"America Movil, S.A.B. de C.V.",13.595,44891119180.555,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov,
AMX,"America Movil, S.A.B. de C.V.",13.56,44775548075.64,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amx,
AAT,"American Assets Trust, Inc.",41.47,1958301357.87,n/a,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aat,
AXL,"American Axle & Manufacturing Holdings, Inc.",12.27,1370578644.27,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/axl,
ACC,American Campus Communities Inc,42.62,5840282018.56,n/a,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/acc,
AEO,"American Eagle Outfitters, Inc.",19.89,3527808685.83,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/aeo,
AEP,"American Electric Power Company, Inc.",78.42,38669594213.34,n/a,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aep,
AEL,American Equity Investment Life Holding Company,31.28,2825932887.44,n/a,2003,Finance,Life Insurance,https://www.nasdaq.com/symbol/ael,
AXP,American Express Company,107.64,91952740474.92,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/axp,
AFG,"American Financial Group, Inc.",99.36,8868196262.88,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afg,
AFGE,"American Financial Group, Inc.",25.11,0,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afge,
AFGH,"American Financial Group, Inc.",25.1372,0,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afgh,
AMH,American Homes 4 Rent,20.7,6138197785.8,n/a,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amh,
AMH^D,American Homes 4 Rent,23.2,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^d,
AMH^E,American Homes 4 Rent,22.775,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^e,
AMH^F,American Homes 4 Rent,21.15,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^f,
AMH^G,American Homes 4 Rent,21.1,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^g,
AMH^H,American Homes 4 Rent,23.15,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^h,
AIG,"American International Group, Inc.",40.77,36067118121.9,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/aig,
AIG.WS,"American International Group, Inc.",n/a,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aig.ws,
AMID,"American Midstream Partners, LP",4.83,256017178.41,n/a,2011,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/amid,
ARL,"American Realty Investors, Inc.",15.98,255633274.48,n/a,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/arl,
ARA,"American Renal Associates Holdings, Inc",16.43,534255377.95,n/a,2016,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/ara,
AWR,American States Water Company,65.83,2418925917.37,n/a,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awr,
AMT,American Tower Corporation (REIT),163.48,72010955516.28,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amt,
AVD,American Vanguard Corporation,15.79,478752957.9,n/a,n/a,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/avd,
AWK,American Water Works,95.78,17297752489.32,n/a,2008,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awk,
COLD,Americold Realty Trust,26.96,3986355206.4,n/a,2018,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cold,
APU,"AmeriGas Partners, L.P.",34.73,3229093710.56,n/a,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/apu,
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",121.43,16922043401.95,n/a,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amp,
ABC,AmerisourceBergen Corporation (Holding Co),87.61,18567493321.73,n/a,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/abc,
ANFI,Amira Nature Foods Ltd,0.5296,20078975.8304,n/a,2012,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/anfi,
AMN,AMN Healthcare Services Inc,60.42,2831757128.34,n/a,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/amn,
AMRX,"Amneal Pharmaceuticals, Inc.",17.67,5275681045.74,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/amrx,
AP,Ampco-Pittsburgh Corporation,4.04,50465607.48,n/a,n/a,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/ap,
APH,Amphenol Corporation,85.65,25808669369.7,n/a,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aph,
AXR,AMREP Corporation,7.16,58195792.64,n/a,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/axr,
AME,"AMTEK, Inc.",72.08,16730919261.76,n/a,n/a,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/ame,
AFSI^A,"AmTrust Financial Services, Inc.",13.1,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^a,
AFSI^B,"AmTrust Financial Services, Inc.",13.32,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^b,
AFSI^C,"AmTrust Financial Services, Inc.",14,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^c,
AFSI^D,"AmTrust Financial Services, Inc.",13.89,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^d,
AFSI^E,"AmTrust Financial Services, Inc.",14.23,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^e,
AFSI^F,"AmTrust Financial Services, Inc.",13,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^f,
AFSS,"AmTrust Financial Services, Inc.",18.67,0,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afss,
AFST,"AmTrust Financial Services, Inc.",19.04,0,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afst,
APC,Anadarko Petroleum Corporation,52.98,26716802187.96,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apc,
PLAN,"Anaplan, Inc.",27.66,0,n/a,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/plan,
ANDX,Andeavor Logistics LP,35.41,8692590104.27,n/a,2011,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/andx,
AU,AngloGold Ashanti Limited,10.5,4321918786.5,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/au,
BUD,Anheuser-Busch Inbev SA,74.27,145309255000,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/bud,
AXE,Anixter International Inc.,60.55,2027325775.3,n/a,n/a,Consumer Non-Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/axe,
NLY,Annaly Capital Management Inc,10.03,13176638670.97,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nly,
NLY^C,Annaly Capital Management Inc,25.3303,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^c,
NLY^D,Annaly Capital Management Inc,25.075,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^d,
NLY^F,Annaly Capital Management Inc,24.87,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^f,
NLY^G,Annaly Capital Management Inc,23.6932,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^g,
NLY^H,Annaly Capital Management Inc,25.319,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^h,
AMGP,Antero Midstream GP LP,14.79,2754185488.02,n/a,2017,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/amgp,
AM,Antero Midstream Partners LP,27.49,5142015550.98,n/a,2014,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/am,
AR,Antero Resources Corporation,12.68,4021017325.08,n/a,2013,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ar,
ANTM,"Anthem, Inc.",292.92,75761442467.4,n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/antm,
ANH,Anworth Mortgage Asset  Corporation,4.45,438166700.15,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/anh,
ANH^A,Anworth Mortgage Asset  Corporation,25.55,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^a,
ANH^B,Anworth Mortgage Asset  Corporation,24.41,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^b,
ANH^C,Anworth Mortgage Asset  Corporation,24.89,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^c,
AON,Aon plc,162.72,39190154230.08,n/a,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/aon,
APA,Apache Corporation,35.04,13299209215.68,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apa,
AIV,Apartment Investment and Management Company,46.08,7172086855.68,n/a,1994,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aiv,
AIV^A,Apartment Investment and Management Company,25.5,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aiv^a,
APY,Apergy Corporation,33.11,2560754881.3,n/a,2018,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/apy,
APHA,Aphria Inc.,4.51,1126427923.39,n/a,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/apha,
ARI,Apollo Commercial Real Estate Finance,18.95,2536525056.75,n/a,2009,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ari,
ARI^C,Apollo Commercial Real Estate Finance,24.96,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ari^c,
APO,"Apollo Global Management, LLC",26.45,10822485665,n/a,2011,Finance,Investment Managers,https://www.nasdaq.com/symbol/apo,
APO^A,"Apollo Global Management, LLC",22.9924,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/apo^a,
APO^B,"Apollo Global Management, LLC",22.96,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/apo^b,
AIY,Apollo Investment Corporation,25.1401,0,n/a,2013,n/a,n/a,https://www.nasdaq.com/symbol/aiy,
AFT,Apollo Senior Floating Rate Fund Inc.,14.95,232817261.95,n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/aft,
AIF,Apollo Tactical Income Fund Inc.,14.8,214067584.8,n/a,2013,n/a,n/a,https://www.nasdaq.com/symbol/aif,
APLE,"Apple Hospitality REIT, Inc.",15.66,3607241254.92,n/a,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aple,
AIT,"Applied Industrial Technologies, Inc.",61.61,2387671583.71,n/a,n/a,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/ait,
ATR,"AptarGroup, Inc.",102.94,6466080159.92,n/a,n/a,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/atr,
APTV,Aptiv PLC,71.58,18859346589.78,n/a,2011,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/aptv,
WTR,"Aqua America, Inc.",34.25,6094440855.75,n/a,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/wtr,
AQ,Aquantia Corp.,8.97,307314038.85,n/a,2017,Technology,Semiconductors,https://www.nasdaq.com/symbol/aq,
WAAS,AquaVenture Holdings Limited,17.92,479021670.4,n/a,2016,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/waas,
ARMK,Aramark,37.5,9252448875,n/a,2013,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/armk,
ABR,Arbor Realty Trust,11.7,885514078.8,n/a,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/abr,
